day,current_u,current_v,lat,lon
0,0.021634349872986593,-0.013530702180548436,-67.958336,-60.041656
1,0.022294949348334706,-0.014785244965497086,-67.958336,-60.041656
2,0.027486247235184905,-0.008547648540963418,-67.958336,-60.041656
3,0.076548609218029,0.012605263345846768,-67.958336,-60.041656
4,-0.0018935636218993907,-0.005050880822545058,-67.958336,-60.041656
5,0.01950143796865451,-0.009680510452174685,-67.958336,-60.041656
6,0.0291819484208292,-0.002595648943425096,-67.958336,-60.041656
7,0.024271484662589285,0.004910463758239915,-67.958336,-60.041656
0,0.009646068568616842,0.02693890993660598,-67.958336,-57.20833
1,0.01501162522601372,0.023475062756586864,-67.958336,-57.20833
2,0.025286903258533264,0.02637542417670791,-67.958336,-57.20833
3,0.009977819098414744,0.08282505574145489,-67.958336,-57.20833
4,-0.007272063439169749,0.05457406588432736,-67.958336,-57.20833
5,0.012963196662884873,0.011448296837316541,-67.958336,-57.20833
6,0.020918616539824162,-0.0014796501852399173,-67.958336,-57.20833
7,-0.0018386617904446133,0.04547862124293964,-67.958336,-57.20833
0,0.002736066007730239,0.02876069722791377,-67.958336,-54.45833
1,0.012276159395599782,0.03135634617133887,-67.958336,-54.45833
2,0.021462828773513937,0.04951068232910868,-67.958336,-54.45833
3,0.002355617595978274,0.10423692745284417,-67.958336,-54.45833
4,-0.015772927114018148,0.0909954460852926,-67.958336,-54.45833
5,0.02250912731119741,0.043310185592150774,-67.958336,-54.45833
6,0.03514347341513765,0.007365695637359872,-67.958336,-54.45833
7,-0.009802191325912073,0.07138438048452796,-67.958336,-54.45833
0,-0.011714491138379218,0.025603380027268103,-67.958336,-51.70833
1,0.009820927516479826,0.028620280163608628,-67.958336,-51.70833
2,0.01936102090434937,0.06102768757101604,-67.958336,-51.70833
3,0.005396318210179662,0.09721665173381883,-67.958336,-51.70833
4,-0.013317695234898194,0.09432725124320969,-67.958336,-51.70833
5,0.007225278573054728,0.05583638968416584,-67.958336,-51.70833
6,0.032407407407407406,1.9843813875072853e-18,-67.958336,-51.70833
7,-0.0056664027705429715,0.061787218264491704,-67.958336,-51.70833
0,-0.028199028970693207,0.028199028970693197,-67.958336,-48.874985
1,-0.0024552318791199582,0.04468356680300719,-67.958336,-48.874985
2,0.01683319914388431,0.08135642147929552,-67.958336,-48.874985
3,-0.0016600968978862764,0.10089613368823634,-67.958336,-48.874985
4,-0.02592854244988561,0.09708669172992361,-67.958336,-48.874985
5,-0.004203615738329139,0.08232413448322563,-67.958336,-48.874985
6,0.030092592592592598,1.842639859828194e-18,-67.958336,-48.874985
7,-0.020732481864650345,0.06352966840810335,-67.958336,-48.874985
0,-0.021535418654859046,0.03773912235856274,-67.958336,-46.124985
1,0.0021018078691645687,0.06199540057494615,-67.958336,-46.124985
2,0.031236573698742356,0.09007540461758902,-67.958336,-46.124985
3,0.0022786579564741277,0.10585519156096192,-67.958336,-46.124985
4,-0.006305423607493708,0.10959731283594955,-67.958336,-46.124985
5,0.004910463758239913,0.08824379709157326,-67.958336,-46.124985
6,0.030233009656897736,0.009399676323564404,-67.958336,-46.124985
7,0.0010650347282512278,0.05303255843028629,-67.958336,-46.124985
0,-0.018939769711433945,0.028199028970693204,-67.958336,-43.291656
1,0.0021018078691645687,0.05736577094531652,-67.958336,-43.291656
2,0.032984957557951534,0.09934245536984283,-67.958336,-43.291656
3,0.0022786579564741285,0.10454957559625482,-67.958336,-43.291656
4,0.004203615738329136,0.10113907011634356,-67.958336,-43.291656
5,0.004910463758239913,0.08592898227675844,-67.958336,-43.291656
6,0.042087917859582095,0.018939769711433945,-67.958336,-43.291656
7,0.01641671064935395,0.04116206724161282,-67.958336,-43.291656
0,-0.02370981640536872,0.028339446034998342,-67.958336,-40.541656
1,0.0,0.06481481481481481,-67.958336,-40.541656
2,0.03161540499879144,0.10850117760802891,-67.958336,-40.541656
3,0.0019693774271801984,0.1115452797226003,-67.958336,-40.541656
4,0.003143343708462971,0.09859269851209061,-67.958336,-40.541656
5,-0.006305423607493708,0.08413434987298658,-67.958336,-40.541656
6,0.03759870529425761,0.035283890479442796,-67.958336,-40.541656
7,0.02595680403722349,0.03681327174059347,-67.958336,-40.541656
0,-0.028760697227913776,0.040334771301987836,-67.958336,-37.791656
1,-0.007365695637359872,0.06986569563735988,-67.958336,-37.791656
2,0.018916270822481117,0.11004193850784867,-67.958336,-37.791656
3,-0.004336046180313508,0.1200035224422063,-67.958336,-37.791656
4,-0.0013695525591600997,0.11213391060447907,-67.958336,-37.791656
5,-0.023492046761333412,0.06659875080460406,-67.958336,-37.791656
6,0.02890111429221891,0.04741963281073743,-67.958336,-37.791656
7,0.035216063296482754,0.025239197666519397,-67.958336,-37.791656
0,-0.03296907566462798,0.012135742331294636,-67.958336,-35.041656
1,-0.012276159395599786,0.06551690013634053,-67.958336,-35.041656
2,0.021018078691645684,0.10606511686057259,-67.958336,-35.041656
3,0.002057664388503112,0.1051323973278679,-67.958336,-35.041656
4,-0.005970735788106081,0.1021975463056234,-67.958336,-35.041656
5,-0.02700755067031953,0.05710014326291211,-67.958336,-35.041656
6,0.026586299477404096,0.04973444762555224,-67.958336,-35.041656
7,0.04398148148148148,0.0069444444444444475,-67.958336,-35.041656
0,-0.00028083412861028365,-2.460343686286119e-18,-65.708336,-60.041656
1,0.002174397750509673,0.0024552318791199548,-65.708336,-60.041656
2,0.0024552318791199565,-0.0024552318791199582,-65.708336,-60.041656
3,0.002595648943425099,-0.0072252785730547294,-65.708336,-60.041656
4,0.016905789025229413,0.021535418654859043,-65.708336,-60.041656
5,0.01185490820268436,-0.004910463758239912,-65.708336,-60.041656
6,0.026445882413098958,-0.0032977342649508044,-65.708336,-60.041656
7,0.007365695637359872,0.037458288229952466,-65.708336,-60.041656
0,0.011574074074074072,0.004203615738329134,-65.708336,-57.20833
1,0.02069291626902819,0.009680510452174683,-65.708336,-57.20833
2,0.025834936816706233,0.016552365015274025,-65.708336,-57.20833
3,0.0406415483535681,0.10208486230564529,-65.708336,-57.20833
4,0.02453717428180441,0.06415551023030062,-65.708336,-57.20833
5,0.027413595417029066,0.018445928637173415,-65.708336,-57.20833
6,0.037317871165647325,0.014169723017499176,-65.708336,-57.20833
7,0.0382896507888839,0.059767326014073384,-65.708336,-57.20833
0,0.0017268671576225328,0.035559961909668,-65.708336,-54.45833
1,0.0063564967872521624,0.035559961909668,-65.708336,-54.45833
2,0.02191518400159687,0.04706144610239698,-65.708336,-54.45833
3,0.02970008749654737,0.12049452006243738,-65.708336,-54.45833
4,0.0077191196473152535,0.09686292643348005,-65.708336,-54.45833
5,0.01773431791887757,0.046368948114452135,-65.708336,-54.45833
6,0.04180708373097181,0.009399676323564404,-65.708336,-54.45833
7,0.016401189600175555,0.09149231595416263,-65.708336,-54.45833
0,-0.02181625278346933,0.05653847500569154,-65.708336,-51.70833
1,-0.011995325266989501,0.05597680674847098,-65.708336,-51.70833
2,0.02987006025017221,0.06776394970500603,-65.708336,-51.70833
