day,wind_u,wind_v,lat,lon
0,7.514410766368395,3.5617205316538123,-77.96289,150.0
1,5.503916238838791,1.984130659993994,-77.96289,150.0
2,-0.022152200755842216,2.0029281846356723,-77.96289,150.0
3,5.7871677158134425,1.8260161401554607,-77.96289,150.0
4,5.042359928498444,2.5733960691538815,-77.96289,150.0
5,-3.683840701786087,2.7813994161934548,-77.96289,150.0
6,4.441785659700641,8.521723024264155,-77.96289,150.0
7,9.760595005920067,4.244334352275059,-77.96289,150.0
0,8.501292946920488,2.6559770377110032,-77.96289,153.28125
1,5.859428964786686,1.208627790619073,-77.96289,153.28125
2,-0.43196227359297645,2.5009696156783825,-77.96289,153.28125
3,6.455073407004336,1.8563407731848072,-77.96289,153.28125
4,5.159733692180234,1.632891609609403,-77.96289,153.28125
5,-3.1358886436461906,3.674874068337521,-77.96289,153.28125
6,4.012609578287587,8.844209504186633,-77.96289,153.28125
7,9.620394706425039,3.782276097116968,-77.96289,153.28125
0,4.80462468917434,-1.662647643826807,-77.96289,156.67969
1,2.548390649552412,-2.259247601257267,-77.96289,156.67969
2,0.5478729449571579,2.5590761535899125,-77.96289,156.67969
3,4.358688287839896,0.27903441156080183,-77.96289,156.67969
4,2.3369669833866884,-2.8536478634668803,-77.96289,156.67969
5,-0.2692479879368244,1.6077798142464284,-77.96289,156.67969
6,3.4429788481986088,8.317165341469504,-77.96289,156.67969
7,6.8124527232051735,1.617315140856771,-77.96289,156.67969
0,5.156031931500823,-1.4266328239571526,-77.96289,159.96094
1,3.449959333266831,-0.5243290542719178,-77.96289,159.96094
2,2.6071731641107037,4.600251089778475,-77.96289,159.96094
3,4.2979772978920705,-0.06300898817548621,-77.96289,159.96094
4,3.535730386506362,-1.2345432279354165,-77.96289,159.96094
5,2.0619465655497096,5.610684679083019,-77.96289,159.96094
6,4.154233428891194,7.277342927592414,-77.96289,159.96094
7,5.806604357162679,-1.1038680967923358,-77.96289,159.96094
0,2.681485252142007,1.943975190241358,-77.96289,163.24219
1,1.7433450233470298,3.0062445791802284,-77.96289,163.24219
2,0.8080366872376131,5.411582889745591,-77.96289,163.24219
3,1.4463650287190897,2.2704870457189235,-77.96289,163.24219
4,2.585156139251246,2.955353498771878,-77.96289,163.24219
5,2.4162455875437043,6.725594795667299,-77.96289,163.24219
6,3.8146700930160713,6.163513769608585,-77.96289,163.24219
7,2.214856822943036,2.9401395629811553,-77.96289,163.24219
0,-1.2332741616176663,0.6406660007060337,-77.96289,166.64062
1,-3.4316918328434745,0.4874772193627894,-77.96289,166.64062
2,-2.944726080912837,5.846467422213817,-77.96289,166.64062
3,0.42700963352763766,0.9062304308548034,-77.96289,166.64062
4,0.11720681685543581,0.4963387721292532,-77.96289,166.64062
5,-3.0549917242438194,6.616994409462017,-77.96289,166.64062
6,2.066166537367047,7.675257794105182,-77.96289,166.64062
7,0.7878911387322832,-0.003516364971078767,-77.96289,166.64062
0,1.1007344016687466,1.4231570275790484,-77.96289,169.92188
1,1.9646699872729558,4.31933128307512,-77.96289,169.92188
2,8.00149126750062,11.837117327616758,-77.96289,169.92188
3,4.786484126135179,3.968964833489704,-77.96289,169.92188
4,-0.3955124139674237,-2.1542988133777383,-77.96289,169.92188
5,6.472920972373385,9.775977048407535,-77.96289,169.92188
6,8.87338714390675,11.992871133599692,-77.96289,169.92188
7,3.9604852142278677,2.5271223402554597,-77.96289,169.92188
0,2.0309950438571387,1.4742032609250726,-77.96289,173.20312
1,1.2560645563113868,3.5833482143552633,-77.96289,173.20312
2,6.627584969606747,14.061506580156696,-77.96289,173.20312
3,6.339634723946621,7.685695884019661,-77.96289,173.20312
4,-0.5786800700253316,-2.6447307148328476,-77.96289,173.20312
5,3.964076809754643,10.677539458219192,-77.96289,173.20312
6,7.293981134152772,11.748170960390341,-77.96289,173.20312
7,6.415739095582353,3.6704030293484653,-77.96289,173.20312
0,2.889694063746043,2.5444682925749653,-77.96289,176.60156
1,-2.0072745388361546,2.477707841984618,-77.96289,176.60156
2,3.213677988733847,13.893112329941843,-77.96289,176.60156
3,6.349122247573278,7.7333354042666365,-77.96289,176.60156
4,-0.5259897173456413,-2.037372105479254,-77.96289,176.60156
5,-1.9597853171019406,7.822005627330401,-77.96289,176.60156
6,4.673478755067982,9.735913181613721,-77.96289,176.60156
7,7.133897364846173,-0.09009698339102663,-77.96289,176.60156
0,3.4122609546386315,3.8776647967274847,-77.96289,179.88281
1,-3.409415477556602,2.7777872722346686,-77.96289,179.88281
2,0.030470390293416378,13.26808748615377,-77.96289,179.88281
3,5.696663390827987,7.289059959606029,-77.96289,179.88281
4,-0.2984492903376617,-2.629034289132792,-77.96289,179.88281
5,-5.2569888040456965,4.557948057989258,-77.96289,179.88281
6,2.556631197185699,7.006376544687261,-77.96289,179.88281
7,6.291421392243055,-2.8133299902640068,-77.96289,179.88281
0,4.965964322376484,6.366937408378329,-75.8542,150.0
1,3.6841017789920705,5.880411230336686,-75.8542,150.0
2,0.6440477098737601,3.2112075150964894,-75.8542,150.0
3,5.277255726862184,4.235098043123098,-75.8542,150.0
4,4.9158870520666476,4.690241623371354,-75.8542,150.0
5,-0.6280349402231336,4.010685063182666,-75.8542,150.0
6,1.4922345328996158,10.114467206471327,-75.8542,150.0
7,8.330126009071726,7.7635506780926145,-75.8542,150.0
0,5.583340746175714,7.6872808078478245,-75.8542,153.28125
1,3.416621696918508,7.412921851045533,-75.8542,153.28125
2,-1.3254236411279527,2.476183392850396,-75.8542,153.28125
3,5.491199398892498,5.751869879013128,-75.8542,153.28125
4,5.448964707873716,6.113771227562027,-75.8542,153.28125
5,-0.7461554624537611,4.726399875253873,-75.8542,153.28125
6,2.066715710873438,11.133668635616383,-75.8542,153.28125
7,8.438109905144545,10.615315833788566,-75.8542,153.28125
0,3.728409280626154,10.405162204221664,-75.8542,156.67969
1,0.812874516454801,7.811023992572415,-75.8542,156.67969
2,-0.7091104611538341,2.708785958238291,-75.8542,156.67969
3,3.5247777025051126,8.0239900266173,-75.8542,156.67969
4,3.0552927412016015,8.37106858366495,-75.8542,156.67969
5,-0.5472373879572487,4.440176198123417,-75.8542,156.67969
6,1.95569047857274,11.959626386821137,-75.8542,156.67969
7,5.006954311407967,13.909505673700812,-75.8542,156.67969
0,3.650079906260519,5.596650496416028,-75.8542,159.96094
1,1.1494685128572135,4.104125899614339,-75.8542,159.96094
2,1.5687900383469708,2.3233307388266264,-75.8542,159.96094
3,3.5416508345307545,4.99213549441753,-75.8542,159.96094
4,3.2576692902825877,5.589445577253001,-75.8542,159.96094
5,1.2598201780525191,3.6137750120037513,-75.8542,159.96094
6,3.0571129252199145,5.474667045990817,-75.8542,159.96094
7,3.6604701323722524,6.962315728872277,-75.8542,159.96094
0,0.7232967876609284,-1.2000175513938816,-75.8542,163.24219
1,2.2836592526844126,1.7947740928423785,-75.8542,163.24219
2,1.9708354721879608,1.935351274692853,-75.8542,163.24219
3,1.767759013026124,-1.4039617196827532,-75.8542,163.24219
4,1.6428365418012258,-1.2447644462213097,-75.8542,163.24219
5,2.3533466608487505,3.6841809474896503,-75.8542,163.24219
6,0.9565202572536208,0.593234973900681,-75.8542,163.24219
7,1.5488272838681352,-1.1773943445793142,-75.8542,163.24219
0,2.2430318252217165,-1.143227676113668,-75.8542,166.64062
1,0.24718425650798603,2.264302368246763,-75.8542,166.64062
2,5.064711369465899,7.9488221622302975,-75.8542,166.64062
3,6.535628297368553,0.7378778056867246,-75.8542,166.64062
4,4.072487272800692,-2.1294103002784204,-75.8542,166.64062
5,2.389974526853143,2.4172206548994417,-75.8542,166.64062
6,6.195674180748708,5.171103155892217,-75.8542,166.64062
7,3.700557826245951,-1.4599376973171536,-75.8542,166.64062
0,0.9064628093930872,-2.8009591583441362,-75.8542,169.92188
1,-1.0304134051658302,4.9423330229341875,-75.8542,169.92188
2,0.38914230491129165,8.985089563723877,-75.8542,169.92188
3,3.1942834813692342,-2.6404200217393945,-75.8542,169.92188
4,3.8951166349368793,-1.609468939687373,-75.8542,169.92188
5,-1.0731887122324624,13.343486429703797,-75.8542,169.92188
6,1.7445264581254065,5.805618550344925,-75.8542,169.92188
7,3.118303696244024,-1.1074923179723026,-75.8542,169.92188
0,1.768278558397866,0.36053098079101203,-75.8542,173.20312
1,-2.3283182779260723,5.683054250561953,-75.8542,173.20312
2,2.4474062913212293,17.5095355514877,-75.8542,173.20312
3,5.25313941112585,5.559948701202413,-75.8542,173.20312
4,1.2466997461845137,2.579148527763072,-75.8542,173.20312
5,0.7130007374562868,14.208693488834017,-75.8542,173.20312
6,2.263729593500806,12.04735447820609,-75.8542,173.20312
7,2.58290647958408,-0.9006491270064507,-75.8542,173.20312
0,3.194003067099539,2.8753688645227515,-75.8542,176.60156
1,-3.273238521490375,5.678422590970101,-75.8542,176.60156
2,2.132151273812146,15.740438083802045,-75.8542,176.60156
3,6.067255457396285,6.738614579157389,-75.8542,176.60156
4,-1.6347362254355202,-1.2919616514585803,-75.8542,176.60156
5,0.22089421503938986,11.972806261999175,-75.8542,176.60156
6,3.7895091730058037,10.545616451137777,-75.8542,176.60156
7,1.2382561394328848,-0.7997422998254476,-75.8542,176.60156
0,4.103374697155478,3.9310601356466868,-75.8542,179.88281
1,-4.173271478721447,5.474609150769446,-75.8542,179.88281
2,0.8597523437139372,12.974882679882745,-75.8542,179.88281
3,6.563470452561934,5.907733978610885,-75.8542,179.88281
4,-2.5115170956084953,-2.7031460387498605,-75.8542,179.88281
5,-3.497381387684706,6.6331874124861026,-75.8542,179.88281
6,2.027118810362186,-1.3600931209603928,-75.8542,179.88281
7,0.3557362441337588,-3.220349907337651,-75.8542,179.88281
0,0.7714919769735568,6.421826353038753,-73.628365,150.0
1,0.6511135904241934,7.1338853619479,-73.628365,150.0
2,-0.7429920959570041,5.182905141791534,-73.628365,150.0
3,2.2485267871901304,5.610637431047107,-73.628365,150.0
4,1.1100881125702968,6.226056219323824,-73.628365,150.0
5,-3.3988384897444686,6.080776666146002,-73.628365,150.0
6,-2.4282261137426358,8.493544018006832,-73.628365,150.0
7,5.195673240780149,9.12884752086326,-73.628365,150.0
0,1.913221457379653,4.672100949262091,-73.628365,153.28125
1,1.513342599014128,5.5002106327512905,-73.628365,153.28125
2,-0.11760328899233759,3.259034101619452,-73.628365,153.28125
3,3.5964318821270083,3.8291446450744284,-73.628365,153.28125
4,2.243503088807945,4.649996258289385,-73.628365,153.28125
5,-3.3566179157691374,5.607604419960166,-73.628365,153.28125
6,-1.6516886145426009,6.863680186978062,-73.628365,153.28125
7,5.945186505273455,8.09005067609681,-73.628365,153.28125
0,3.9619756022380432,1.0545200382654936,-73.628365,156.67969
1,3.3598193615309158,2.11551956596078,-73.628365,156.67969
2,1.5633163714933322,0.7193441600934595,-73.628365,156.67969
3,4.946667757134191,0.6318654287864326,-73.628365,156.67969
4,3.895608712433363,1.0010897037389042,-73.628365,156.67969
5,-1.4347458711163634,5.132477254414456,-73.628365,156.67969
6,-0.14738816558738044,5.147151539293005,-73.628365,156.67969
7,6.930527795278036,4.961274784863483,-73.628365,156.67969
0,2.2568568859733023,-2.2957869945240703,-73.628365,159.96094
1,2.2231374420203607,-1.5180199419141667,-73.628365,159.96094
2,1.5469417489085535,-0.8694881925079239,-73.628365,159.96094
3,2.242858870498645,-2.7232376771394886,-73.628365,159.96094
4,2.3504927644614906,-2.095609640928442,-73.628365,159.96094
5,-0.05645849673131494,3.816676641615857,-73.628365,159.96094
6,0.6276410283558412,3.6948578689176874,-73.628365,159.96094
7,3.939021984470804,-0.5400262411801321,-73.628365,159.96094
0,2.7348411542825737,-4.010340532234555,-73.628365,163.24219
1,1.5237502919719252,-1.1756061974285488,-73.628365,163.24219
2,1.691831591262077,-0.5393878160362076,-73.628365,163.24219
3,3.197420031205038,-4.610805028656208,-73.628365,163.24219
4,2.024850122591797,-3.533556788358755,-73.628365,163.24219
5,-0.5408936619529278,1.7061356285750973,-73.628365,163.24219
6,1.71401392158859,-1.2771838009276182,-73.628365,163.24219
7,2.5618750780042125,-2.5585279616207126,-73.628365,163.24219
0,1.585508431552913,-1.2928525282942944,-73.628365,166.64062
1,1.4000815035374634,-1.1237460128136352,-73.628365,166.64062
