day,wind_u,wind_v,lat,lon
2,-6.651866679640602,-3.140081434504762,-73.04262,76.640625
3,-7.95980653703225,-3.934304071046082,-73.04262,76.640625
4,-7.4428987594563205,-3.7924714393037715,-73.04262,76.640625
5,-6.399243268904677,-4.783367791145558,-73.04262,76.640625
6,-8.397193602666054,-4.168240655034638,-73.04262,76.640625
7,-5.5020778813369455,-3.5070305763684737,-73.04262,76.640625
0,-4.328171823780806,-5.588430863421595,-73.04262,79.33594
1,-4.227042544222677,-2.9976509781777483,-73.04262,79.33594
2,-5.934549807542055,-2.0479443159880053,-73.04262,79.33594
3,-7.546021683438526,-3.1249286773620084,-73.04262,79.33594
4,-6.712699130168853,-3.2420090524426333,-73.04262,79.33594
5,-4.856152526860129,-4.848838892005815,-73.04262,79.33594
6,-7.005616710727104,-3.956336711122256,-73.04262,79.33594
7,-4.226547731335832,-3.50650261506374,-73.04262,79.33594
0,-4.079652119356138,-5.567814033006802,-73.04262,82.03125
1,-3.9888385294313125,-2.819461893758468,-73.04262,82.03125
2,-5.572780537976262,-1.4767501273751213,-73.04262,82.03125
3,-7.261237134207202,-2.870501641577943,-73.04262,82.03125
4,-6.406857479798497,-3.39969811148846,-73.04262,82.03125
5,-3.9875833302113413,-5.0041474145144695,-73.04262,82.03125
6,-6.176082329579938,-3.954536837775926,-73.04262,82.03125
7,-3.5235777743575194,-3.6312213094030015,-73.04262,82.03125
0,-4.070445003934511,-4.962496232163611,-73.04262,84.609375
1,-3.6258020541534877,-2.1121815890492814,-73.04262,84.609375
2,-5.2735396051630525,-0.5502387693066894,-73.04262,84.609375
3,-6.6499137283653695,-1.9732108770246446,-73.04262,84.609375
4,-6.122049064677925,-3.1873555309122037,-73.04262,84.609375
5,-3.11702944248119,-4.820360310361617,-73.04262,84.609375
6,-5.0589807967155265,-3.5188122029754223,-73.04262,84.609375
7,-2.902840279066817,-3.3376632533832105,-73.04262,84.609375
0,-4.107945926155662,-4.362621119335889,-73.04262,87.30469
1,-3.347081201854865,-1.383578985003921,-73.04262,87.30469
2,-5.432098501284035,-0.190515207513184,-73.04262,87.30469
3,-6.61118734430087,-1.4446926973932215,-73.04262,87.30469
4,-6.231716301917931,-3.0927585502197945,-73.04262,87.30469
5,-2.4504414737847156,-5.103970664537781,-73.04262,87.30469
6,-4.096328391500543,-3.1157614321913236,-73.04262,87.30469
7,-2.4721170085891138,-2.939363765860867,-73.04262,87.30469
0,-3.9351943809989187,-3.32900462092122,-73.04262,90.0
1,-2.936744409678901,-0.06672863548767369,-73.04262,90.0
2,-5.245565505391621,1.0994134138427276,-73.04262,90.0
3,-6.441670072023226,-0.22418269684196016,-73.04262,90.0
4,-6.292557393093097,-2.4008717728906928,-73.04262,90.0
5,-1.890208103683455,-4.5153426838424355,-73.04262,90.0
6,-3.0761542655418794,-2.1812800257248575,-73.04262,90.0
7,-2.0990665917956433,-1.9549289677235173,-73.04262,90.0
0,6.79520592526994,8.783146742193525,-70.81678,65.97656
1,6.730529005782983,12.154502993830612,-70.81678,65.97656
2,10.704855122842831,13.680278367948212,-70.81678,65.97656
3,9.604385911051494,15.670389142769727,-70.81678,65.97656
4,8.572517658349737,11.69422302618048,-70.81678,65.97656
5,5.133667989120975,12.761446465990959,-70.81678,65.97656
6,6.628356093463309,15.185359346946925,-70.81678,65.97656
7,9.515628174275221,14.086735980747207,-70.81678,65.97656
0,2.627758715765436,4.400272033674368,-70.81678,68.671875
1,2.667513210207975,10.193375972351271,-70.81678,68.671875
2,5.304705622994922,9.51623638955237,-70.81678,68.671875
3,4.35959689891684,10.870254889180607,-70.81678,68.671875
4,5.2329844169884945,8.74847237457223,-70.81678,68.671875
5,3.5523971791598985,13.278370480024927,-70.81678,68.671875
6,5.132393523550016,15.421576651079796,-70.81678,68.671875
7,5.4553361501275575,14.229176180188032,-70.81678,68.671875
0,1.4934108452025967,2.778345557996541,-70.81678,71.36719
1,3.069174170749856,6.481963263554789,-70.81678,71.36719
2,1.8878978518009,4.584795722802368,-70.81678,71.36719
3,1.2068985451894458,2.9653078523531735,-70.81678,71.36719
4,1.547568792927711,3.595337861043341,-70.81678,71.36719
5,3.6593845008965045,8.548172796507961,-70.81678,71.36719
6,5.03183161606733,9.332595696706848,-70.81678,71.36719
7,4.010257242408696,7.672294563620042,-70.81678,71.36719
0,-3.872048940516932,-3.4201032307351737,-70.81678,73.94531
1,-4.218081212635197,-2.85441468966658,-70.81678,73.94531
2,-6.915510326029103,-3.808201086953199,-70.81678,73.94531
3,-6.754832130504486,-3.2859001638690355,-70.81678,73.94531
4,-6.055087313149579,-3.5033034739166005,-70.81678,73.94531
5,-8.816064695095756,-3.863617336551709,-70.81678,73.94531
6,-9.53021493974924,-3.5788614902721734,-70.81678,73.94531
7,-7.456640850897927,-2.451262494439578,-70.81678,73.94531
0,-5.296343487962949,-4.1871136996263285,-70.81678,76.640625
1,-5.829244356406162,-2.4326135309087804,-70.81678,76.640625
2,-6.561298781735807,-0.8375927480666489,-70.81678,76.640625
3,-7.595010481356911,-1.0891162626477282,-70.81678,76.640625
4,-6.6192031463035255,-1.1111381973876708,-70.81678,76.640625
5,-9.234987407586713,-3.2180329834157466,-70.81678,76.640625
6,-13.087074876351517,-2.130938649494757,-70.81678,76.640625
7,-8.033887707773077,0.6293483795079953,-70.81678,76.640625
0,-5.207310285813528,-4.628315143781177,-70.81678,79.33594
1,-6.548008366218554,-2.3014706329708594,-70.81678,79.33594
2,-7.728528786510047,-0.7252124431716996,-70.81678,79.33594
3,-9.431421778727943,-0.964070655022237,-70.81678,79.33594
4,-8.223872360213788,-1.2659114411430334,-70.81678,79.33594
5,-9.83967485222835,-3.700046860121024,-70.81678,79.33594
6,-12.736268367789949,-0.2660082555278301,-70.81678,79.33594
7,-9.836279928318472,0.35542427732972115,-70.81678,79.33594
0,-4.704694296952554,-3.3002513244308136,-70.81678,82.03125
1,-5.51460036818646,-0.6043981733204554,-70.81678,82.03125
2,-6.584156225567276,1.4157493478917402,-70.81678,82.03125
3,-8.013165744242002,1.4794928207695497,-70.81678,82.03125
4,-7.070989004599767,0.45716446520373566,-70.81678,82.03125
5,-7.827338506416376,-2.3242741671177742,-70.81678,82.03125
6,-12.079599226216004,-0.23778852514041104,-70.81678,82.03125
7,-8.935814152549094,2.240505567582202,-70.81678,82.03125
0,-4.855428718738316,-1.8801628483906967,-70.81678,84.609375
1,-4.970889403531472,0.5259808929978955,-70.81678,84.609375
2,-6.314002535445254,2.2936014176592816,-70.81678,84.609375
3,-7.944260645871764,2.0776507112936793,-70.81678,84.609375
4,-6.763615546603028,0.599073162709506,-70.81678,84.609375
5,-6.577077322004315,-1.8291695197155953,-70.81678,84.609375
6,-10.989696951131272,0.10397682258943848,-70.81678,84.609375
7,-8.736613996228629,2.4781077421023414,-70.81678,84.609375
0,-4.837810423380546,0.047174852220769975,-70.81678,87.30469
1,-4.557750760334892,1.8459522686524241,-70.81678,87.30469
2,-6.1474486102556085,3.221457782354682,-70.81678,87.30469
3,-7.757300143408945,2.8901901616238024,-70.81678,87.30469
4,-6.635239911647794,0.6647967897845765,-70.81678,87.30469
5,-5.405977484846704,-1.5290299091728319,-70.81678,87.30469
6,-9.53519871135177,0.7107776616033407,-70.81678,87.30469
7,-8.157929530889744,3.034498373140444,-70.81678,87.30469
0,-5.140449188975493,0.7300110876422644,-70.81678,90.0
1,-4.395834939232482,2.3458538070088655,-70.81678,90.0
2,-6.360519064176429,3.3404217078788747,-70.81678,90.0
3,-8.281693116289146,2.893326387928054,-70.81678,90.0
4,-7.149142802546081,0.31234262538049695,-70.81678,90.0
5,-4.8827027082234205,-1.7350515129317667,-70.81678,90.0
6,-8.7330994523143,1.018656962210131,-70.81678,90.0
7,-8.425987462207535,2.6789741671106366,-70.81678,90.0
0,-1.5837733403797165,5.789368005387381,-68.70809,65.97656
1,-3.9476718450728776,13.380913358833636,-68.70809,65.97656
2,1.2707169191045231,7.729789799598507,-68.70809,65.97656
3,-0.10578468070489926,11.012442510725945,-68.70809,65.97656
4,-0.5333904179133557,8.029000092829232,-68.70809,65.97656
5,-6.856848242044035,17.148324432115963,-68.70809,65.97656
6,-5.661738392855828,18.087610662555253,-68.70809,65.97656
7,-0.6720967573079166,12.761978341547254,-68.70809,65.97656
0,2.8917898453741437,2.5337538969754534,-68.70809,68.671875
1,-0.45397134569025455,9.35513163741489,-68.70809,68.671875
2,4.578180374386883,4.269963174763352,-68.70809,68.671875
3,3.591890259567799,6.14471554456368,-68.70809,68.671875
4,2.8507750853574336,5.437073991639218,-68.70809,68.671875
5,-2.8371140842293925,13.839398298243944,-68.70809,68.671875
6,-3.0990449364809263,16.869143124041052,-68.70809,68.671875
7,1.420483382295046,8.749885512174451,-68.70809,68.671875
0,1.2479608623415606,2.6964190398995083,-68.70809,71.36719
1,1.1903331800285966,10.34662100122909,-68.70809,71.36719
2,4.6534342921567164,5.9941652486452766,-68.70809,71.36719
3,2.6241791317482197,4.76029954050848,-68.70809,71.36719
4,1.9499935369330552,5.201795587395207,-68.70809,71.36719
5,0.3413388267342063,12.191783847928596,-68.70809,71.36719
6,0.0868006024944727,12.376057721985132,-68.70809,71.36719
7,2.6190071940259307,12.0305942908349,-68.70809,71.36719
0,3.305687948567323,2.102237448527796,-68.70809,73.94531
1,-0.23025408146541182,6.123761654477753,-68.70809,73.94531
2,5.945107492469088,4.463220522248775,-68.70809,73.94531
3,1.2572339201531868,2.6150024691807445,-68.70809,73.94531
4,0.7226108036530579,2.2446479696561368,-68.70809,73.94531
5,-3.352404797470955,5.512340113036618,-68.70809,73.94531
6,-7.186376381818701,1.6280017002633391,-68.70809,73.94531
7,1.9085575964125387,5.782635938295454,-68.70809,73.94531
0,2.1161099721325525,0.5104700082598977,-68.70809,76.640625
1,-0.6314388154782514,2.7730292979970983,-68.70809,76.640625
2,3.5567950330145144,0.8153721138523332,-68.70809,76.640625
3,-1.2309311509645715,-2.0647445735413585,-68.70809,76.640625
4,0.5820030211219495,1.073505870952659,-68.70809,76.640625
5,-2.978100623591018,1.3180826010386635,-68.70809,76.640625
6,-7.292003303664946,-3.107882839844328,-68.70809,76.640625
7,-3.1658822926512626,1.7847167754875546,-68.70809,76.640625
0,-3.0133368607614446,-0.7342584101175919,-68.70809,79.33594
1,-7.817763418743475,-1.2078954787902556,-68.70809,79.33594
2,-5.609176454101989,-0.6823216406643606,-68.70809,79.33594
3,-6.670866870537342,-1.0553879193260787,-68.70809,79.33594
4,-4.943864252941309,0.009506104190567135,-68.70809,79.33594
5,-16.687211528394144,-2.051561991170105,-68.70809,79.33594
6,-22.470587809011146,-3.8086921152208095,-68.70809,79.33594
7,-11.81403392631649,1.3259405982095454,-68.70809,79.33594
0,-3.9979159699006837,0.17895197903139692,-68.70809,82.03125
1,-6.9685622563520555,1.121814239978012,-68.70809,82.03125
2,-5.561779279490225,3.4432341105541924,-68.70809,82.03125
3,-6.615253938749213,3.5636489761524666,-68.70809,82.03125
4,-5.387823941097866,3.229790952623144,-68.70809,82.03125
5,-11.880012382065141,-0.47108352092313327,-68.70809,82.03125
6,-16.34714585774124,-0.3895181530728285,-68.70809,82.03125
7,-10.869855476536236,4.747701128126759,-68.70809,82.03125
0,-3.888060900461147,1.0338941287436108,-68.70809,84.609375
1,-6.341757523250766,1.8650737714786472,-68.70809,84.609375
2,-6.961121728438034,4.451359749708443,-68.70809,84.609375
3,-7.685288067466135,4.550104571352482,-68.70809,84.609375
4,-5.703129318564014,3.2226375615265965,-68.70809,84.609375
5,-10.551127747363905,-0.4078525011093605,-68.70809,84.609375
6,-16.95375802738005,1.1365364074365876,-68.70809,84.609375
7,-12.173786915405522,5.218926263295812,-68.70809,84.609375
0,-3.0895035164999336,3.388774053252222,-68.70809,87.30469
1,-4.376672207880644,3.0762346319259453,-68.70809,87.30469
2,-5.591849725276146,4.976010368613045,-68.70809,87.30469
3,-5.656580954936634,4.833288562913514,-68.70809,87.30469
4,-4.030376458178352,3.7332226465598857,-68.70809,87.30469
5,-8.012091773714852,0.9732713971725434,-68.70809,87.30469
6,-14.673495546114998,2.588232077631502,-68.70809,87.30469
7,-10.58699374381206,5.329296578179933,-68.70809,87.30469
0,-5.376612059691499,3.835579341579303,-68.70809,90.0
1,-5.933604806577706,3.0685366108300305,-68.70809,90.0
2,-8.723332427897468,5.29897162630625,-68.70809,90.0
3,-9.532516702708431,4.722969389596204,-68.70809,90.0
4,-6.704459862230603,2.6395627596358144,-68.70809,90.0
5,-8.06365411157434,0.6053791749709986,-68.70809,90.0
6,-14.953218451700634,2.551827649475029,-68.70809,90.0
7,-13.56514384090974,5.196433544188258,-68.70809,90.0
0,-8.414430456453816,1.235667089961072,-66.482254,65.97656
1,-8.814479673699413,6.706734705468876,-66.482254,65.97656
2,3.365170114829658,-0.36123485583267634,-66.482254,65.97656
3,0.8927747626429854,2.035474168566561,-66.482254,65.97656
4,-8.529579386584414,1.960064377765064,-66.482254,65.97656
5,-15.613630373771878,9.52911137296479,-66.482254,65.97656
6,-11.938739924551406,9.271088437506974,-66.482254,65.97656
7,-2.66277997866688,4.077878755139867,-66.482254,65.97656
0,-6.152599497122828,-0.020142137729613447,-66.482254,68.671875
1,-10.266622726142232,11.179823161065189,-66.482254,68.671875
2,2.374026474799655,0.29389175149458807,-66.482254,68.671875
3,-0.535671164767805,0.6931505129689994,-66.482254,68.671875
4,-5.746938676519253,2.3823074184271693,-66.482254,68.671875
5,-15.023091086381761,13.14702640584658,-66.482254,68.671875
6,-10.457879666385205,10.725768257105406,-66.482254,68.671875
7,-4.329914595526324,9.276906430407264,-66.482254,68.671875
0,-3.8381155708478976,0.14968050318665613,-66.482254,71.36719
